#Release 12.2 - par M.63c (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Feb 09 15:03:56 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       amstrad_switch_z80_vga_sans_son_map.ncd
#OUTPUT FILE:      amstrad_switch_z80_vga_sans_son_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B14,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,
C1,ram_D<6>,IOB,IO_L01N_7/VRP_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
C2,ram_D<5>,IOB,IO_L16N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
C3,,DIFFM,IO_L16P_7/VREF_7,UNUSED,,7,,,,,,PROHIBITED,,,
C4,,,HSWAP_EN,,,,,,,,,,,,
C5,D<1>,IOB,IO_L25N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,A<10>,IOB,IO_L28N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C7,A<6>,IOB,IO_L30N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C8,A<12>,IOB,IO_L31P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C9,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,
C11,A<11>,IOB,IO_L29P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
D1,,DIFFS,IO_L17N_7,UNUSED,,7,,,,,,PROHIBITED,,,
D2,,DIFFM,IO_L17P_7,UNUSED,,7,,,,,,PROHIBITED,,,
D3,ram_D_U<0>,IOB,IO_L19P_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
D4,,,VCCINT,,,,,,,,1.2,,,,
D5,D<0>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,D<6>,IOB,IO_L27P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D7,A<7>,IOB,IO_L29P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,A<3>,IOB,IO_L31N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D9,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,PROHIBITED,,,
D10,,DIFFS,IO_L30N_1,UNUSED,,1,,,,,,,,,
D11,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,
D14,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,PROHIBITED,,,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,
E1,,DIFFS,IO_L20N_7,UNUSED,,7,,,,,,PROHIBITED,,,
E2,,DIFFM,IO_L20P_7,UNUSED,,7,,,,,,PROHIBITED,,,
E3,ram_A<8>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E4,ram_A<9>,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,A<9>,IOB,IO_L27N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E7,A<8>,IOB,IO_L29N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,,,VCCO_0,,,0,,,,,2.50,,,,
E9,,,VCCO_1,,,1,,,,,2.50,,,,
E10,,DIFFM,IO_L30P_1,UNUSED,,1,,,,,,,,,
E11,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,
E12,,,VCCINT,,,,,,,,1.2,,,,
E13,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,PROHIBITED,,,
E14,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,PROHIBITED,,,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,
F2,ram_D_U<2>,IOB,IO_L22N_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
F3,ram_A<6>,IOB,IO_L22P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F4,ram_A<7>,IOB,IO_L21N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F5,,DIFFM,IO_L23P_7,UNUSED,,7,,,,,,PROHIBITED,,,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,
F9,,,VCCO_1,,,1,,,,,2.50,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,
F11,,,GND,,,,,,,,,,,,
F12,RESET_n,IOB,IO_L21N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
F13,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,PROHIBITED,,,
F14,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,PROHIBITED,,,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,
G1,,DIFFM,IO_L40P_7,UNUSED,,7,,,,,,PROHIBITED,,,
G2,,DIFFS,IO,UNUSED,,7,,,,,,PROHIBITED,,,
G3,ram_W,IOB,IO_L24N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G4,ram_A<5>,IOB,IO_L24P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G5,ram_A<10>,IOB,IO_L23N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G6,,,VCCO_7,,,7,,,,,2.50,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,
G12,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,PROHIBITED,,,
G13,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,PROHIBITED,,,
G14,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,PROHIBITED,,,
G15,,DIFFM,IO_L24P_2,UNUSED,,2,,,,,,,,,
G16,,DIFFM,IO,UNUSED,,2,,,,,,,,,
H1,ram_D_U<3>,IOB,IO_L40N_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
H2,,,GND,,,,,,,,,,,,
H3,ram_A<11>,IOB,IO_L39N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H4,ram_A<12>,IOB,IO_L39P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,
H13,,DIFFS,IO_L39N_2,UNUSED,,2,,,,,,PROHIBITED,,,
H14,,DIFFM,IO_L39P_2,UNUSED,,2,,,,,,PROHIBITED,,,
H15,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,
H16,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,
J1,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,PROHIBITED,,,
J2,ram_D_U<4>,IOB,IO_L40N_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
J3,ram_A<14>,IOB,IO_L39P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J4,ram_A<13>,IOB,IO_L39N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J5,,,VCCO_6,,,6,,,,,2.50,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,
J13,,DIFFM,IO_L39P_3,UNUSED,,3,,,,,,PROHIBITED,,,
J14,,DIFFS,IO_L39N_3,UNUSED,,3,,,,,,PROHIBITED,,,
J15,,,GND,,,,,,,,,,,,
J16,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,
K1,,DIFFM,IO,UNUSED,,6,,,,,,PROHIBITED,,,
K2,,DIFFM,IO_L24P_6,UNUSED,,6,,,,,,PROHIBITED,,,
K3,ram_A<15>,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K4,OE1,IOB,IO_L23P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K5,ram_A<16>,IOB,IO_L23N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K6,,,VCCO_6,,,6,,,,,2.50,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,
K12,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,PROHIBITED,,,
K13,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,PROHIBITED,,,
K14,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,PROHIBITED,,,
K15,,DIFFS,IO,UNUSED,,3,,,,,,,,,
K16,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,
L1,,,VCCAUX,,,,,,,,2.5,,,,
L2,ram_D_U<5>,IOB,IO_L22P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
L3,ram_A<17>,IOB,IO_L22N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L4,ram_A<4>,IOB,IO_L21P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L5,ram_A<0>,IOB,IO_L21N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L6,,,GND,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,
L11,,,GND,,,,,,,,,,,,
L12,LED2,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L13,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,PROHIBITED,,,
L14,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,PROHIBITED,,,
L15,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,
M1,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,PROHIBITED,,,
M2,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,PROHIBITED,,,
M3,ram_A<3>,IOB,IO_L19P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M4,ram_A<2>,IOB,IO_L19N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,
M6,D<5>,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M7,CLK4<1>,IOB,IO_L30P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M8,,,VCCO_5,,,5,,,,,2.50,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,
M10,,DIFFS,IO_L29N_4,UNUSED,,4,,,,,,,,,
M11,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,PROHIBITED,,,
M14,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,PROHIBITED,,,
M15,PS2_DATA,IOB,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M16,PS2_CLK,IOB,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
N1,,DIFFM,IO_L17P_6/VREF_6,UNUSED,,6,,,,,,PROHIBITED,,,
N2,,DIFFS,IO_L17N_6,UNUSED,,6,,,,,,PROHIBITED,,,
N3,ram_A<1>,IOB,IO_L16P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N4,,,VCCINT,,,,,,,,1.2,,,,
N5,,IOB,IO,UNUSED,,5,,,,,,PROHIBITED,,,
N6,IO_WR,IOB,IO_L28N_5/D6,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N7,ram_D<0>,IOB,IO_L30N_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
N8,CLK4<0>,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N9,D<7>,IOB,IO_L31N_4/INIT_B,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N10,,DIFFM,IO_L29P_4,UNUSED,,4,,,,,,PROHIBITED,,,
N11,IO_RD,IOB,IO_L27P_4/D1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N12,LED5,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,LED3,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N15,,DIFFM,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,PROHIBITED,,,
N16,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,PROHIBITED,,,
P1,ram_D_U<6>,IOB,IO_L01P_6/VRN_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
P2,,DIFFS,IO_L16N_6,UNUSED,,6,,,,,,PROHIBITED,,,
P3,,,M0,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,
P5,,DIFFM,IO_L27P_5,UNUSED,,5,,,,,,PROHIBITED,,,
P6,LB1,IOB,IO_L29P_5/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P7,CE1,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P8,ram_D_U<1>,IOB,IO_L32N_5/GCLK3,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
P9,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P10,D<4>,IOB,IO_L30N_4/D2,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P11,,DIFFS,IO_L28N_4,UNUSED,,4,,,,,,PROHIBITED,,,
P12,,DIFFS,IO_L25N_4,UNUSED,,4,,,,,,PROHIBITED,,,
P13,LED4,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P14,LED1,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P15,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,PROHIBITED,,,
P16,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,PROHIBITED,,,
R1,ram_D_U<7>,IOB,IO_L01N_6/VRP_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
R2,,,GND,,,,,,,,,,,,
R3,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,
R4,,DIFFM,IO_L10P_5/VRN_5,UNUSED,,5,,,,,,PROHIBITED,,,
R5,ram_D<4>,IOB,IO_L27N_5/VREF_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
R6,ram_D<2>,IOB,IO_L29N_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
R7,MEM_RD,IOB,IO_L31P_5/D5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R8,,,GND,,,,,,,,,,,,
R9,HSYNC,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R10,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,
R11,BLUE,IOB,IO_L28P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R12,RED,IOB,IO_L25P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R13,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,PROHIBITED,,,
R14,,,DONE,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,
R16,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,PROHIBITED,,,
T1,,,GND,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,
T3,MEM_WR,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T4,UB1,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T5,ram_D<3>,IOB,IO,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
T6,,,VCCAUX,,,,,,,,2.5,,,,
T7,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,
T8,ram_D<1>,IOB,IO/VREF_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
T9,CLK50MHz,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
T10,VSYNC,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T11,,,VCCAUX,,,,,,,,2.5,,,,
T12,GREEN,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T13,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,PROHIBITED,,,
T14,,DIFFS,IO,UNUSED,,4,,,,,,PROHIBITED,,,
T15,,,CCLK,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
